MegaGravRules;10;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
GravRules;10;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
MegaShifterRules;10;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
ShifterRules;10;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
<empty>;0;
